PositionTimestamp	PositionDifference	VideoTimestamp	VideoDifference
95479.315000	1.285160	NaN	NaN
95479.355000	1.242960	NaN	NaN
95479.390000	1.267960	NaN	NaN
95479.430000	1.259173	NaN	NaN
95479.470000	1.321160	NaN	NaN
95479.510000	1.399160	NaN	NaN
95479.550000	1.345060	NaN	NaN
95479.590000	1.483060	NaN	NaN
NaN	NaN	95451.780578	4.352941
NaN	NaN	95451.857935	160.650980
NaN	NaN	95451.935375	2774.101961
NaN	NaN	95456.944536	0.380392
NaN	NaN	95457.025104	33.992157
NaN	NaN	95457.105659	1046.349020
NaN	NaN	95463.214882	5.623529
NaN	NaN	95463.291595	234.482353
NaN	NaN	95469.030314	3.713725
NaN	NaN	95469.110339	286.737255
NaN	NaN	95474.951755	0.341176
NaN	NaN	95475.029807	0.000000
NaN	NaN	95475.107880	318.600000
